7,4,0
5,3,1
8,4,0
8,3,0
8,4,0
9,4,0
7,3,1
7,4,0
8,4,0
5,3,1
9,4,0
5,4,1
7,4,0
7,4,0
7,3,0
10,3,0
4,3,1
7,3,1
7,4,1
9,3,1
8,4,0
7,3,1
7,3,0
6,3,0
8,4,0
5,1,1
7,3,1
9,3,1
5,3,0
6,4,0
10,3,1
10,4,0
7,3,0
7,4,0
9,4,1
8,4,0
9,4,0
10,3,0
6,4,0
10,4,0
8,3,1
7,4,0
6,3,1
7,3,0
7,3,0
8,3,0
6,3,0
8,4,0
6,3,1
10,4,0
8,4,0
8,3,1
8,3,0
10,4,0
7,3,0
8,4,0
8,3,0
11,4,0
6,4,0
8,3,0
8,4,0
5,3,1
9,4,1
5,4,0
8,4,0
8,3,0
10,3,0
7,3,0
9,3,1
8,4,0
8,3,1
8,4,0
7,3,0
9,4,0
7,3,0
8,4,0
9,4,1
9,4,0
11,4,0
9,3,0
8,3,0
9,4,0
8,4,0
9,4,0
10,4,0
5,3,0
9,4,0
7,3,1
8,3,0
11,4,0
9,3,0
10,4,0
6,3,1
7,3,0
5,4,1
8,4,0
10,4,0
6,3,0
7,3,0
6,3,0
5,3,0
9,4,0
9,4,0
7,3,0
5,4,1
9,4,0
9,4,1
8,4,0
10,4,0
7,4,1
9,3,0
9,4,0
7,3,0
7,4,0
13,4,0
7,3,0
12,4,0
7,3,0
6,3,0
8,3,0
8,3,0
6,4,0
7,3,0
5,4,0
6,3,0
10,4,0
6,3,0
9,4,0
7,4,0
5,4,0
9,4,1
7,4,0
9,4,0
4,3,1
5,3,1
9,4,0
8,3,0
8,3,1
8,2,1
8,3,1
8,4,0
6,4,0
7,3,0
10,4,0
5,3,1
7,3,1
9,3,1
7,4,0
9,3,0
5,4,1
8,4,0
7,3,1
7,3,0
8,3,0
7,3,0
5,4,0
6,4,0
8,4,1
6,3,0
6,3,1
9,4,0
7,3,0
6,3,0
5,3,0
7,3,0
7,3,0
7,3,0
6,3,0
8,3,0
7,4,0
8,4,0
7,3,0
7,4,0
7,3,0
8,3,0
6,3,0
5,3,1
10,4,0
7,4,0
3,2,1
3,2,1
4,2,1
9,4,0
8,4,0
9,4,0
8,3,0
9,4,0
7,3,0
6,3,1
8,3,1
7,4,0
7,4,0
6,3,0
7,4,1
6,3,0
7,3,0
9,3,1
5,3,1
5,3,1
5,3,1
6,4,0
6,3,0
6,3,1
6,4,1
8,4,0
6,3,0
6,4,0
5,3,1
5,3,1
5,4,0
8,3,0
5,3,1
4,3,1
8,3,1
8,3,0
6,4,0
6,4,1
7,4,0
7,4,1
6,3,0
6,3,0
9,4,0
8,4,0
11,4,0
8,3,0
8,4,0
5,3,1
9,4,0
10,4,0
7,4,0
10,4,0
5,3,1
7,4,0
5,4,1
8,4,0
7,3,0
7,4,0
4,3,1
8,3,0
8,3,0
6,4,0
6,4,0
7,4,0
6,3,0
9,3,1
11,4,0
8,4,0
7,3,0
7,3,1
9,3,0
7,3,0
7,4,0
5,3,0
6,4,0
6,3,1
6,4,1
6,4,0
7,4,1
5,3,1
4,3,1
7,4,0
7,4,0
4,3,1
6,3,0
7,4,0
7,3,0
10,4,0
6,3,1
8,4,0
10,4,0
9,4,1
5,4,1
10,4,0
5,4,1
7,3,0
7,3,0
6,4,1
5,4,1
8,3,0
6,3,1
8,3,0
9,3,1
5,4,1
7,4,1
7,4,0
9,4,0
5,4,1
8,3,0
6,3,0
7,3,0
8,3,0
8,3,0
8,3,0
6,3,1
8,3,0
7,4,0
7,4,0
8,4,0
9,4,0
7,3,0
8,3,1
9,3,0
8,3,0
8,3,1
7,3,0
8,3,0
7,3,1
7,4,0
9,4,0
7,3,1
8,3,1
8,3,0
9,3,0
8,3,0
9,4,0
8,3,1
6,4,0
4,3,1
10,4,0
8,4,0
6,3,0
7,3,0
8,4,0
10,4,0
6,3,0
10,3,0
7,3,0
7,3,0
5,4,1
8,3,1
8,4,0
8,4,0
6,3,0
7,4,0
6,3,1
8,4,1
9,4,0
9,3,1
6,3,1
7,3,1
7,4,0
5,3,0
9,4,0
10,4,0
7,4,0
5,4,0
6,3,0
8,4,1
5,3,1
6,4,0
7,4,0
5,3,1
8,3,0
7,4,0
8,4,0
9,3,0
9,4,0
8,4,0
8,4,0
6,3,0
7,4,0
6,3,0
8,4,0
9,3,0
9,3,0
11,4,0
8,4,0
10,4,1
7,4,0
5,3,1
8,4,0
8,4,0
7,3,1
9,4,0
6,3,0
6,3,0
6,4,0
6,4,0
10,4,0
5,3,1
8,4,0
5,4,0
7,4,0
7,4,0
6,3,0
6,3,0
10,4,0
7,4,0
6,3,1
6,4,1
4,3,1
8,3,1
7,3,0
8,3,0
7,3,0
9,4,0
7,4,0
9,3,0
7,4,1
7,4,0
7,4,0
10,3,0
7,3,0
9,3,0
9,3,0
8,3,0
9,4,0
10,3,0
7,3,1
7,3,1
10,4,0
7,3,0
6,3,1
8,4,0
10,4,0
12,4,0
7,3,0
10,4,0
10,4,0
10,4,0
8,4,0
9,4,0
10,4,0
9,4,0
9,4,0
8,3,0
7,3,0
10,4,0
10,4,0
7,3,0
11,4,0
10,4,0
9,4,0
12,4,0
9,3,0
8,3,0
7,3,0
7,4,0
8,3,0
9,4,1
9,4,0
7,3,0
8,4,0
9,4,0
6,3,0
7,4,0
7,3,0
12,4,0
7,3,0
7,4,0
7,3,0
8,3,0
6,3,1
7,3,0
8,3,0
10,4,0
8,4,0
8,4,0
7,4,1
5,3,1
6,3,0
6,3,0
7,4,0
7,3,1
7,3,0
8,3,0
6,3,0
7,3,0
7,3,0
8,3,0
6,3,0
7,3,0
4,3,1
5,3,0
4,3,1
8,3,1
7,4,1
6,3,0
4,3,1
7,4,1
7,4,0
6,3,1
7,4,1
8,3,0
7,3,0
8,3,0
7,3,0
6,4,1
7,3,0
7,3,0
7,3,1
10,4,0
9,4,0
8,4,0
6,3,0
7,3,0
8,4,0
8,4,0
8,4,0
5,3,1
8,4,0
8,4,0
7,4,0
5,3,1
7,4,0
5,3,0
7,3,0
6,4,0
12,4,0
9,4,0
7,4,0
8,4,0
7,4,1
7,4,0
5,3,1
8,3,0
6,3,1
7,4,0
6,3,1
6,3,1
7,3,0
8,3,0
8,3,0
8,4,0
6,3,1
8,4,1
8,3,1
8,4,0
8,4,0
7,3,0
9,3,0
10,4,0
7,3,0
9,3,0
7,4,0
7,4,0
10,4,0
7,4,0
5,3,1
9,4,0
6,4,1
6,4,0
6,4,0
5,3,1
7,4,1
4,3,1
5,3,1
6,3,0
8,3,0
5,3,1
8,4,0
9,3,0
7,3,0
6,3,1
7,3,1
8,3,0
7,3,0
6,3,1
4,3,1
5,3,0
4,3,1
6,3,1
5,3,0
4,3,1
5,4,0
7,3,1
7,3,0
7,4,0
8,4,0
6,3,1
7,3,0
7,3,0
7,3,0
8,4,0
7,4,0
5,3,1
7,4,0
9,4,0
7,3,1
9,4,0
8,4,0
8,4,0
8,4,0
7,3,0
7,4,0
9,4,0
6,3,1
