CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-12---Annandale-East-and-Eskdale_06052022_171202.blt,7,4108,1370,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-12-Kirkcaldy-East_06052022_151925.blt,8,3995,1332,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-12-Victoria-Park_06052022_163755.blt,6,8617,2873,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-13-Garscadden-Scotstounhill_06052022_165250.blt,8,8629,2877,5661
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-13-Glenrothes-West-and-Kinglassie_06052022_145551.blt,6,4588,1530,49
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-14-Drumchapel-Anniesland_06052022_170258.blt,10,7226,2409,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-14-Glenrothes-North-Leslie-and-Markinch_06052022_151925.blt,8,6255,2086,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-15-Glenrothes-Central-and-Thornton_06052022_145551.blt,8,4652,1551,281
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-15-Maryhill_06052022_165258.blt,8,5663,1888,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-16-Canal_06052022_163755.blt,10,5792,1931,134
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-16-Howe-Of-Fife-and-Tay-Coast_06052022_151928.blt,7,6030,2011,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-17-Springburn-Robroyston_06052022_170301.blt,8,6790,2264,693
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-17-Tay-Bridgehead_06052022_145551.blt,8,6280,2094,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-18-East-Centre_06052022_165259.blt,11,6957,2320,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-18-St-Andrews_06052022_151928.blt,6,5048,1683,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-19-East-Neuk-and-Landward_06052022_145551.blt,8,5356,1786,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-19-Shettleston_06052022_170301.blt,8,7364,2455,224
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-2---Brechin-and-Edzell_06052022_150515.blt,5,3933,1312,294
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-2---Lochee_06052022_161513.blt,9,5843,1948,59
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-2---Mid-Galloway-and-Wigtown-West_06052022_171201.blt,5,4962,1655,110
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-2---Prestwick_06052022_142624.blt,8,6642,2215,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-2-Dunfermline-North_06052022_151927.blt,8,5710,1904,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-2-Newlands-Auldburn_06052022_165250.blt,10,7565,2522,71
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-20-Baillieston_06052022_170301.blt,7,7255,2419,225
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-20-Cupar_06052022_151928.blt,9,6095,2032,645
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-21-Leven-Kennoway-and-Largo_06052022_145552.blt,8,6559,2187,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-21-North-East_06052022_170301.blt,8,4501,1501,319
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-22-Buckhaven-Methil-and-Wemyss-Villages_06052022_151928.blt,8,5105,1702,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-22-Dennistoun_06052022_163757.blt,7,5464,1822,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-23-Partick-East-Kelvindale_06052022_170257.blt,9,10231,3411,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-3---Dee-and-Glenkens_06052022_171147.blt,7,4478,1493,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-3---Forfar-and-District_06052022_150515.blt,8,5421,1808,inf
1Q,data/Scotland/2022/PreferenceProfile_V0001_Ward-3---West-End_06052022_161516.blt,9,5732,1911,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-3-Dunfermline-Central_06052022_145551.blt,9,7971,2658,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-3-Greater-Pollok_06052022_163750.blt,11,8869,2957,84
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4---Ayr-East_06052022_142626.blt,9,4936,1646,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4---Castle-Douglas-and-Crocketford_06052022_171202.blt,8,4033,1345,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4---Coldside_06052022_161514.blt,9,5589,1864,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4---Monifieth-and-Sidlaw_06052022_150515.blt,8,7194,2399,inf
CASEB,data/Scotland/2022/PreferenceProfile_V0001_Ward-4-Cardonald_06052022_163754.blt,9,8572,2858,598
